run_id,target_id,enable_spoofing,num_targets,noise_std_m,drift_rate_mps,packet_loss_rate_configured,adaptive_ekf_success_threshold_m,ekf_success_rate,rmse_m,interception_time_s,closest_approach_m,intercepted,guidance_efficiency_mps2,spoofing_variance,compute_latency_ms,energy_consumption_j,mission_success_probability,packet_loss_probability,link_snr_db,risk_index_proxy
run_1f8b2315dbaf,Target_8,False,8,0.65,0.33,0.28,1.7854999999999999,0.17727272727272728,7.117759577877945,5.8500000000000005,139.98145322531664,True,16.777686606785377,22.62572294484509,157.73046843514155,1876.5755473631039,0.33941443117314113,0.0,0.0,0.7713998703452142
run_1f998109961b,Track_1,False,5,1.2,0.3,0.05,1.875,1.0,0.26621503459504986,0.55,236.72721085516778,True,7.203582707271759,0.011980113798561766,106.17031064997197,109.58486490212839,0.8954867096354043,0.05000000000000001,-20.0,0.10059470208843063
run_1f998109961b,Track_2,False,5,1.2,0.3,0.05,1.875,1.0,0.2782480468307372,0.55,355.8773212353687,True,10.93578109975834,0.019501827252323023,106.17031064997197,134.9937306194481,0.8952101098832074,0.05000000000000001,-20.0,0.10262005117444682
run_1f998109961b,Track_3,False,5,1.2,0.3,0.05,1.875,1.0,0.24767356158146442,0.55,266.4608137046025,True,8.14641971600675,0.019699513930893597,106.17031064997197,100.9729859232635,0.8958894441192419,0.05000000000000001,-20.0,0.09973320754343215
run_1f998109961b,Track_4,False,5,1.2,0.3,0.05,1.875,1.0,0.5474656488547835,0.55,194.32348017050757,True,35.0,0.4431173484786702,106.17031064997197,485.7371143447807,0.8859760551020738,0.05000000000000001,-20.0,0.14768777164334967
run_1f998109961b,Track_5,False,5,1.2,0.3,0.05,1.875,1.0,0.27374587086672625,0.55,210.2535517555125,True,3.4384021444129176,0.007037196667937284,106.17031064997197,80.76828687366725,0.8953150013488004,0.05000000000000001,-20.0,0.09926395032841043
run_1fd8f0a7136b,Target_1,False,9,1.0,0.45,0.2,2.275,0.509090909090909,5.114814272454295,5.0,185.34885229087192,True,20.071092215582162,8.281977210259067,274.7100686605641,2037.447663575261,0.4645614320432656,0.2,-20.0,0.7260117894836932
run_1fd8f0a7136b,Target_2,False,9,1.0,0.45,0.2,2.275,0.20909090909090908,3.1786161888680997,5.45,306.75129005352454,True,23.33622996040444,2.5537857286083145,274.7100686605641,2186.117148277927,0.4627015125159433,0.2,-20.0,0.6119235360289992
run_1fd8f0a7136b,Target_3,False,9,1.0,0.45,0.2,2.275,0.8590909090909091,1.7315116439204064,6.45,190.98926802164107,True,26.930388531844546,0.8645555251771023,274.7100686605641,2347.3481917719423,0.7672292499175108,0.2,-20.0,0.39677067828016466
run_1fd8f0a7136b,Target_4,False,9,1.0,0.45,0.2,2.275,0.5,4.390537154879261,7.050000000000001,3.5855588006203654,True,30.597692994813137,1.3093413111350496,274.7100686605641,2510.6040184921903,0.5068898034796883,0.2,-13.730598892481275,0.5876634987242898
run_1fd8f0a7136b,Target_5,False,9,1.0,0.45,0.2,2.275,0.4863636363636364,2.4217781457941565,5.0,174.2760074083634,True,26.4182160921703,1.5910738689862776,274.7100686605641,2326.5386528804474,0.6040179423722885,0.2,-20.0,0.5027099019973912
run_1fd8f0a7136b,Target_6,False,9,1.0,0.45,0.2,2.275,0.2318181818181818,3.040819972807966,8.6,234.95825163466236,True,24.16040407359472,0.9661750272258817,274.7100686605641,2209.1205714865023,0.47334650170628145,0.2,-20.0,0.5443562567586604
run_1fd8f0a7136b,Target_7,False,9,1.0,0.45,0.2,2.275,0.6045454545454545,4.137526656721235,7.300000000000001,38.57007114355874,True,17.363624270844504,10.217897513094451,274.7100686605641,1924.0643607897753,0.5220891330546293,0.2,-19.489850557119382,0.6715400741775465
run_1fd8f0a7136b,Target_8,False,9,1.0,0.45,0.2,2.275,0.18636363636363637,3.3671878607348367,5.300000000000001,133.9486806253362,True,19.0888797047893,3.622169994939072,274.7100686605641,2003.4712246162003,0.4434859065402873,0.2,-20.0,0.6646062728537178
run_1fd8f0a7136b,Target_9,False,9,1.0,0.45,0.2,2.275,0.5272727272727272,2.3902423681881726,7.0,217.08964132768867,True,23.649060593994413,1.095909408330159,274.7100686605641,2201.9660974209714,0.6148219535745811,0.2,-20.0,0.4793743377517974
run_2040181197db,Target_1,False,7,1.2,0.3,0.05,1.875,0.2681818181818182,6.578206183103307,5.75,187.91747115060284,True,18.2969155407348,19.440941465939996,106.97086610365126,1915.7864346982649,0.3667821737188549,0.0,0.0,0.723127097641379
run_2040181197db,Target_2,False,7,1.2,0.3,0.05,1.875,0.07727272727272727,2.462053781915989,5.95,312.19495915592944,True,21.648492195543383,2.9703540880662356,106.97086610365126,2096.2930791856206,0.309109669546449,0.0,0.0,0.5802816681321878
run_2040181197db,Target_3,False,7,1.2,0.3,0.05,1.875,0.1590909090909091,1.6273751875559346,8.450000000000001,192.93207177089795,True,21.534085222558467,0.9413560311509235,106.97086610365126,2039.6850043165784,0.330497180148531,0.0,0.0,0.47062490621338327
run_2040181197db,Target_4,False,7,1.2,0.3,0.05,1.875,0.11818181818181818,5.233555606996719,9.1,5.070508257724994,True,28.029994457184515,3.2863411987519195,106.97086610365126,2364.931779731479,0.31561332613392185,0.0,0.0,0.6764643370110582
run_2040181197db,Target_5,False,7,1.2,0.3,0.05,1.875,0.1318181818181818,2.6737435315939173,10.950000000000001,161.58347507665565,True,22.295288120059315,1.9372511653770623,106.97086610365126,2135.4829113237847,0.31675850020078594,0.0,0.0,0.5454785224797611
run_2040181197db,Target_6,False,7,1.2,0.3,0.05,1.875,0.1,2.0506239710082093,9.15,228.72938919635314,True,18.99768657322168,1.0006019313974717,106.97086610365126,1950.0572675451751,0.3101416430835624,0.0,0.0,0.49070045330551015
