run_id,risk_index_p90,risk_index_mean,targets
run_2c1fe12698e7,0.7188082979274809,0.6027377178368319,5
run_2c4606e40106,0.6824344172387758,0.5761062606729177,9
run_2c50368f3298,0.7845779608642085,0.6612104447461262,8
run_2c6579afe1cf,0.7969303572756807,0.680954812068401,8
run_2d1299328031,0.7049979805427746,0.6215441995459473,10
run_2d18208969d3,0.673338902222685,0.5644751741679662,3
run_2e96337db496,0.7159266477694878,0.6442135111846831,3
run_2ec5dc6a8d06,0.36746741014118656,0.3611821821882174,5
run_2f5082c6c39d,0.6434538503052613,0.5966550962865211,10
run_3046ed287db6,0.7354054323724594,0.6361682079472566,5
run_30865ff7c455,0.8414980014852711,0.6483273338431603,9
run_308978b03db8,0.43816459238393984,0.36173776019411413,4
run_310b367f55fa,0.6756613645254625,0.5559299453898139,3
run_311592f7d920,0.2493016455583934,0.15083124515805493,5
run_3164bd622110,0.7881293283215343,0.6884435789301154,10
run_31acf5a955cb,0.7273493021545016,0.6439926503071193,3
run_3208b0b67eea,0.6733430480066853,0.5643264276133636,6
run_3210fbceea8f,0.7354054323724594,0.6361682079472566,5
run_323547b25c35,0.7820696265438897,0.6666290458959074,8
run_32474682a981,0.6824344172387758,0.5761062606729177,9
run_32528d6a8ac5,0.7020038125018526,0.5742955541247633,3
run_3262a5804b80,0.7740462130985807,0.688261454868503,5
run_3309f74d2e77,0.7906471856402152,0.6940037297134316,7
run_33be7215af9f,0.7358435057498584,0.6640835309287916,5
run_34a6cdd4ae69,0.7084752900741137,0.5673215819079143,5
run_36e74262dddc,0.6679383231729674,0.5466815976304402,6
run_37255675cbff,0.11782420463243383,0.10491684529574855,5
run_3b4a10d7a2c8,0.832773207638273,0.7229510642976512,7
run_3bb3356393ba,0.4544861805006027,0.4083483750606688,5
run_3c154e4a9bc3,0.68561692226572,0.5108167694557516,6
run_3caf3f7454dd,0.8393259254990697,0.7093040831477188,7
run_3cc519e1bee4,0.48934768073357204,0.3649494346721627,6
run_3cd4a191f963,0.6002838134321578,0.4328743274478828,8
run_3cd9d6b330d0,0.18896318097096887,0.15136684541419904,3
run_3da90a930cc9,0.7240775351831612,0.578908816828803,6
run_3db7777a8879,0.722728162660901,0.5934001276395561,7
run_3e080eada581,0.8393259254990697,0.7093040831477188,7
run_3e71f795e4ca,0.722728162660901,0.5934001276395561,7
run_3ed8733d4dcd,0.6496896005955477,0.5827947411661482,9
run_3f6bbb63c064,0.7047017592322496,0.5913024764452189,3
run_4017fcdfcd28,0.7480499243707937,0.6473346697214224,5
run_401a7b5c77bc,0.7569863933492309,0.6765825560180238,5
run_403a24543c9e,0.7159266477694878,0.6442135111846831,3
run_403f4ae02837,0.7219745924919316,0.5985159504664498,3
run_40489aba604d,0.667655940579736,0.5032070594219517,6
run_412d207753ec,0.7845779608642085,0.6612104447461262,8
run_414f5d6e0f68,0.6791948645660514,0.5695598720831755,3
run_41a5bd1cb92c,0.5209306139325232,0.47968298907096835,3
run_4203e039051c,0.871148378416823,0.7727428649941435,8
run_42949a91756b,0.7845779608642085,0.6612104447461262,8
run_4296235194ff,0.832944800838792,0.7382325475366669,8
run_445bed3b21e6,0.7606597025017117,0.625999672917611,5
run_44600a9e3857,0.53360917684513,0.4189992850634651,4
run_44b2591f363e,0.7446041858172818,0.5884759343029159,6
run_44b99cfa5f8f,0.12966068345578854,0.10997993655561393,5
run_4573bf5f92f4,0.5232038492038411,0.44672533886111293,9
run_477e33b37bd6,0.7845779608642085,0.6612104447461262,8
run_4792c2dbce4c,0.721754409280779,0.5550091701241229,5
run_48f895dba664,0.15497892344852238,0.13311592206623787,3
run_490758cb72de,0.15492439891168472,0.13306139752940024,3
run_4987763e4e08,0.6824344172387758,0.5761062606729177,9
run_49c4e543e462,0.7957167097949559,0.7015194912739922,5
run_4a7161853915,0.6756613645254625,0.5559299453898139,3
run_4ac66ac4a9ae,0.48934768073357204,0.3649542745450393,6
run_4aeb8fad661a,0.7337741108556421,0.6387298752580137,4
run_4b156c8f67e9,0.15497892344852238,0.13311592206623787,3
run_4b91e5143857,0.8563720920831646,0.7646883535283631,9
run_4be32acd4c41,0.5498503253514762,0.42116065619307763,6
run_4c31550f3598,0.722728162660901,0.5934001276395561,7
run_4c4e113dff04,0.7337741108556421,0.6387298752580137,4
run_4cfa1bed7d23,0.18896318097096887,0.15136684541419904,3
run_4d7882900700,0.7128618840450142,0.601853484590727,3
run_4d7c3d680f57,0.6831008321105527,0.5784499932907848,6
run_4d8f90d49619,0.6902162370993759,0.5514332192678493,5
run_4df19a5d70ad,0.7049979805427746,0.6215441995459473,10
run_4e5b424a2859,0.7358435057498584,0.6640835309287916,5
run_4f49d0ebad0c,0.8586249339480397,0.7295378423987783,7
run_50ef2ebf6768,0.7424100672519045,0.5867796416511849,6
run_51d4075225ce,0.7957167097949559,0.7015194912739922,5
run_524c90b7d92f,0.7192470189595753,0.637594286143948,4
run_52712e3cc91e,0.7580515163169141,0.6444087726553954,3
run_52969f51cb1b,0.7159266477694878,0.6442135111846831,3
run_52d6d1072867,0.7080817035697764,0.6004931049990142,3
run_52e3bb031bfb,0.34667532175617877,0.22889647851447306,3
run_52f4f6f8e4a2,0.15497892344852238,0.13311592206623787,3
run_53334a6dd2b5,0.7726477818734633,0.6816057619215444,10
run_53421d0facdd,0.6822775538199883,0.5692127195956058,6
run_53512cec5370,0.11782420463243383,0.10491684529574855,5
run_53642b4f663f,0.6864037006874275,0.6051054232044956,10
run_53b749fc0729,0.6752055475540409,0.5734253066647579,4
run_543b2563760a,0.18896318097096887,0.15136684541419904,3
run_54c6f60dcacd,0.7047017592322496,0.5913024764452189,3
run_55d450fca0f7,0.7845779608642085,0.6612104447461262,8
run_55eb1660f6c0,0.7957167097949559,0.7015194912739922,5
run_56127fed732f,0.18896318097096887,0.15136684541419904,3
run_5680c0e96adb,0.6837414784666842,0.5139259695911245,7
run_56c4f29bd5e0,0.6733430480066853,0.5643264276133636,6
run_571640ff42b6,0.7337741108556421,0.6387298752580137,4
run_57a8775b5292,0.6824344172387758,0.5761062606729177,9
run_57bed56176db,0.6733430480066853,0.5643264276133636,6
run_57f7d30ed3ab,0.879227407963316,0.7948853825904824,8
run_5826b518af69,0.7480499243707937,0.6473346697214224,5
run_5958cf3bd656,0.7712599515513201,0.684956407422999,6
run_598dc4bf8398,0.48506982506904117,0.3922705232140286,5
run_5abeef17df99,0.7025577829141008,0.5786551743235597,3
run_5ae1dc178332,0.5462574961770339,0.4515329275793521,3
run_5b977bef9179,0.6414274262039151,0.5563035197352688,3
run_5bffc0f7d840,0.6419038972076444,0.5571989963328803,3
run_5c9f28be458b,0.5642044963308736,0.5105501144724005,10
run_5cb70c032adf,0.7188082979274809,0.6027377178368319,5
run_5cf943e54591,0.7661895749442309,0.6065778012978446,9
run_5d8463d61554,0.8201500087270045,0.7316311296047046,9
run_5dbc0df4fb23,0.24734906260648337,0.13420024665611666,5
run_5ddbf4e58887,0.12966068345578854,0.10997993655561393,5
run_5e5dd3d62aae,0.37395934642016626,0.336095168505004,6
run_5e904cc3c9cd,0.714032019546928,0.5806803687350384,8
run_5ef504b0fcd8,0.6580919965713365,0.5598283936275434,3
run_5f35f4b4581a,0.8393259254990697,0.7093040831477188,7
run_5fa41b15253a,0.7583327752609438,0.6214091130496124,8
run_5ff82e84852c,0.6670319359021504,0.5295935901281358,7
run_60400a801507,0.871148378416823,0.7727428649941435,8
run_612f571de556,0.8362637529771582,0.7313350110193364,8
run_613068d999d5,0.7881293283215343,0.6884435789301154,10
run_61e467b596dd,0.6414274262039151,0.5563035197352688,3
run_622908704170,0.6434538503052613,0.5966550962865211,10
run_62701416fb4d,0.7933124228681413,0.6639454932299335,10
run_62917fb0d2b5,0.7068161187144357,0.6668361768047025,6
run_62b34e6c88b8,0.6756613645254625,0.5559299453898139,3
run_637493d5ac62,0.18896318097096887,0.15136684541419904,3
run_640a4a74e837,0.5232038492038411,0.44672533886111293,9
run_645fb7e8eb9d,0.34667532175617877,0.22889647851447306,3
run_649e3b76e293,0.7544984121581407,0.6310379519485592,5
run_66417de2e717,0.6824344172387758,0.5761062606729177,9
run_664a539a3caf,0.6580919965713365,0.5598283936275434,3
run_6708fb29e216,0.7080817035697764,0.6004931049990142,3
run_672fe66213b4,0.6679383231729674,0.5466815976304402,6
run_67ac65efa4d1,0.7957167097949559,0.7015194912739922,5
run_67de2299401f,0.7446041858172818,0.5884759343029159,6
run_687353461bbe,0.7580515163169141,0.6444087726553954,3
run_68901b168665,0.7575979363600311,0.682687979590284,3
run_68faefb52923,0.791495302000872,0.6761307023606273,8
run_6996363f27c5,0.673338902222685,0.5644751741679662,3
run_6a433184ffa4,0.7655993709222126,0.6638619683211653,4
run_6a4ef83f3f27,0.6670319359021504,0.5295935901281358,7
run_6a5969d45e7d,0.6756613645254625,0.5559299453898139,3
run_6a8a499333b8,0.667655940579736,0.5032070594219517,6
run_6a8b5c4aef32,0.7661895749442309,0.6065778012978446,9
run_6ad2f4b6425a,0.6756613645254625,0.5559299453898139,3
run_6af5b810ca88,0.7068161187144357,0.6668361768047025,6
run_6af6977f3ab1,0.24734906260648337,0.13420024665611666,5
run_6b40a9c350c2,0.6586103208991269,0.528101731209749,6
run_6cc40dca9c4e,0.8011723052517632,0.6704721279274757,10
